"lakename","lakeid","year4","daynum","sampledate","division","genus","species","description","concentration","gal_dimension","mean_individ_vol","mean_individ_biovol","total_vol","total_biovol"
"Paul Lake","L",1984,169,1984-06-17,"Chrysophyta","Chrysosphaerella",NA,NA,0,126,831340,52245,0.03,0.002
"Paul Lake","L",1984,169,1984-06-17,"Chrysophyta","Dinobryon","cylindricum",NA,0.008,96.9,4490,722,0.003,0.001
"Paul Lake","L",1984,169,1984-06-17,"Chrysophyta","Dinobryon",NA,"cyst",0.194,37.9,1309,210,0.025,0.004
"Paul Lake","L",1984,169,1984-06-17,"Chrysophyta","Dinobryon","divergens",NA,0.018,69.6,3156,507,0.006,0.001
"Paul Lake","L",1984,169,1984-06-17,"Chlorophyta","Gloeocystis",NA,NA,0.22,44.1,63780,2255,1.403,0.05
"Paul Lake","L",1984,169,1984-06-17,"Chrysophyta","Mallomonas",NA,NA,0.44,16.6,1410,1410,0.062,0.062
"Paul Lake","L",1984,169,1984-06-17,"Cyanophyta","Merismopedia","tenuissima",NA,0.039,18,307,31.7,0.001,0
"Paul Lake","L",1984,169,1984-06-17,"Cyanophyta","Merismopedia","tenuissima",NA,0.045,34.5,971,100,0.004,0
"Paul Lake","L",1984,169,1984-06-17,"Cyanophyta","Merismopedia","tenuissima",NA,0.013,59,2466,254,0.003,0
"Paul Lake","L",1984,169,1984-06-17,"Cyanophyta","Merismopedia","tenuissima",NA,0.013,92.4,5867,605,0.008,0.001
"Paul Lake","L",1984,169,1984-06-17,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",5.558,5.8,102,102,0.057,0.057
"Paul Lake","L",1984,169,1984-06-17,"Chlorophyta","Monomastix","astigmata",NA,4.549,6.25,30.3,30.3,0.014,0.014
"Paul Lake","L",1984,169,1984-06-17,"Cyanophyta","Nostoc",NA,"single trichomes",0.057,15.9,401,401,0.002,0.002
"Paul Lake","L",1984,169,1984-06-17,"Chlorophyta","Oocystis",NA,"sp. 1",0.78,15.4,1490,1490,0.116,0.116
"Paul Lake","L",1984,169,1984-06-17,"Euglenophyta","Phacus",NA,NA,0.11,14.1,1517,1517,0.017,0.017
"Paul Lake","L",1984,169,1984-06-17,"Chrysophyta","Synura",NA,"colonial",0.111,56,91847,22080,1.02,0.245
"Peter Lake","R",1984,169,1984-06-17,"Cyanophyta","Anabaena","circinalis",NA,0.075,35.1,1232,1232,0.009,0.009
"Peter Lake","R",1984,169,1984-06-17,"Chlorophyta","Ankyra","judayi",NA,0.078,66.6,153,153,0.001,0.001
"Peter Lake","R",1984,169,1984-06-17,"Chrysophyta","Chrysochromulina",NA,NA,0.078,31.8,8169,2483,0.064,0.019
"Peter Lake","R",1984,169,1984-06-17,"Chrysophyta","Chrysosphaerella",NA,NA,0.004,126,831340,52245,0.338,0.021
"Peter Lake","R",1984,169,1984-06-17,"Chlorophyta","Closteriopsis","longissima",NA,0.023,56.7,142,142,0,0
"Peter Lake","R",1984,169,1984-06-17,"Chlorophyta","Closteriopsis","longissima",NA,0.055,110,276,276,0.002,0.002
"Peter Lake","R",1984,169,1984-06-17,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.117,13.9,203,203,0.002,0.002
"Peter Lake","R",1984,169,1984-06-17,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.117,24,1514,1514,0.018,0.018
"Peter Lake","R",1984,169,1984-06-17,"Chrysophyta","Dinobryon","cylindricum",NA,0.002,96.9,4490,722,0.001,0
"Peter Lake","R",1984,169,1984-06-17,"Chrysophyta","Dinobryon",NA,"cyst",0.042,37.9,1309,210,0.005,0.001
"Peter Lake","R",1984,169,1984-06-17,"Chrysophyta","Dinobryon","divergens",NA,0.004,69.6,3156,507,0.001,0
"Peter Lake","R",1984,169,1984-06-17,"Chrysophyta","Dinobryon","divergens",NA,0.018,92.6,7494,1414,0.013,0.003
"Peter Lake","R",1984,169,1984-06-17,"Chrysophyta","Dinobryon","divergens",NA,0.007,148,18232,3440,0.013,0.002
"Peter Lake","R",1984,169,1984-06-17,"Chrysophyta","Dinobryon","divergens",NA,0.006,217,34556,6520,0.02,0.004
"Peter Lake","R",1984,169,1984-06-17,"Chlorophyta","Gloeocystis",NA,NA,0.117,44.1,63780,2255,0.746,0.026
"Peter Lake","R",1984,169,1984-06-17,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",0.243,5.8,102,102,0.002,0.002
"Peter Lake","R",1984,169,1984-06-17,"Chlorophyta","Monomastix","astigmata",NA,2.385,7.7,37.1,37.1,0.009,0.009
"Peter Lake","R",1984,169,1984-06-17,"Cyanophyta","Nostoc",NA,"single trichomes",0.082,15.9,401,401,0.003,0.003
"Peter Lake","R",1984,169,1984-06-17,"Chlorophyta","Oocystis",NA,"sp. 1",1.25,15.4,1490,1490,0.186,0.186
"Peter Lake","R",1984,169,1984-06-17,"Chlorophyta","Quadrigula","lacustris",NA,0.039,92.7,23195,312,0.09,0.001
"Peter Lake","R",1984,169,1984-06-17,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.064,33.4,28540,3060,0.182,0.019
"Peter Lake","R",1984,169,1984-06-17,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.014,107,247951,3607,0.357,0.005
"Peter Lake","R",1984,169,1984-06-17,"Chrysophyta","Synura",NA,"colonial",0.016,56,91847,22080,0.15,0.036
"Tuesday Lake","T",1984,169,1984-06-17,"Chlorophyta","Ankistrodesmus","setigerus",NA,1.7,25.1,1524,1524,0.259,0.259
"Tuesday Lake","T",1984,169,1984-06-17,"Bacillariophyta","Asterionella","formosa",NA,0.056,134,1120,1120,0.006,0.006
"Tuesday Lake","T",1984,169,1984-06-17,"Chrysophyta","Chrysosphaerella",NA,NA,0.036,126,831340,52245,2.96,0.186
"Tuesday Lake","T",1984,169,1984-06-17,"Chlorophyta","Closteriopsis","longissima",NA,0.942,56.7,142,142,0.013,0.013
"Tuesday Lake","T",1984,169,1984-06-17,"Chlorophyta","Closteriopsis","longissima",NA,2.307,110,276,276,0.064,0.064
"Tuesday Lake","T",1984,169,1984-06-17,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.219,13.9,203,203,0.004,0.004
"Tuesday Lake","T",1984,169,1984-06-17,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.072,24,1514,1514,0.011,0.011
"Tuesday Lake","T",1984,169,1984-06-17,"Cyanophyta","Dactylococcopsis",NA,NA,0.675,32.7,132,132,0.009,0.009
"Tuesday Lake","T",1984,169,1984-06-17,"Chrysophyta","Diceras",NA,NA,0.116,106,153,153,0.002,0.002
"Tuesday Lake","T",1984,169,1984-06-17,"Chlorophyta","Dictyosphaerium","pulchellum",NA,0.078,23.3,407,407,0.003,0.003
"Tuesday Lake","T",1984,169,1984-06-17,"Chrysophyta","Dinobryon","sociale",NA,0.928,24.3,641,89.6,0.059,0.008
"Tuesday Lake","T",1984,169,1984-06-17,"Chrysophyta","Dinobryon",NA,NA,0.988,69.8,2442,203,0.241,0.02
"Tuesday Lake","T",1984,169,1984-06-17,"Pyrrhophyta","Glenodinium","quadridens",NA,0.187,17.3,1741,1741,0.033,0.033
"Tuesday Lake","T",1984,169,1984-06-17,"Chrysophyta","Mallomonas",NA,NA,0.659,16.6,1410,1410,0.093,0.093
"Tuesday Lake","T",1984,169,1984-06-17,"Chrysophyta","Mallomonas",NA,NA,0.2,29.3,1032,1032,0.021,0.021
"Tuesday Lake","T",1984,169,1984-06-17,"Euglenophyta","Menoidium","tortuosum",NA,8.203,13.6,1308,528,1.073,0.433
"Tuesday Lake","T",1984,169,1984-06-17,"Cyanophyta","Microcystis","aeruginosa","(<65)",0.095,47.2,13295,13295,0.126,0.126
"Tuesday Lake","T",1984,169,1984-06-17,"Cyanophyta","Microcystis","aeruginosa","(>65)",0.031,76.6,25200,25200,0.077,0.077
"Tuesday Lake","T",1984,169,1984-06-17,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",8.062,5.4,82.4,82.4,0.066,0.066
"Tuesday Lake","T",1984,169,1984-06-17,"Pyrrhophyta",NA,NA,"Misc. naked dinoflagellate",0.002,73.7,64600,64600,0.012,0.012
"Tuesday Lake","T",1984,169,1984-06-17,"Chlorophyta","Monomastix","astigmata",NA,0.351,6.25,30.3,30.3,0.001,0.001
"Tuesday Lake","T",1984,169,1984-06-17,"Pyrrhophyta","Peridinium",NA,NA,0.014,82.8,64600,64600,0.089,0.089
"Tuesday Lake","T",1984,169,1984-06-17,"Pyrrhophyta","Peridinium","umbonatum",NA,3.238,16.2,1580,1580,0.512,0.512
"Tuesday Lake","T",1984,169,1984-06-17,"Bacillariophyta","Rhizolenia",NA,NA,0.872,92.9,686,372,0.06,0.032
"Tuesday Lake","T",1984,169,1984-06-17,"Chlorophyta","Selenastrum","minutum",NA,5.203,7.34,272,272,0.142,0.142
"Tuesday Lake","T",1984,169,1984-06-17,"Chlorophyta","Staurastrum",NA,NA,0.123,81.4,4300,4300,0.053,0.053
"Tuesday Lake","T",1984,169,1984-06-17,"Chrysophyta","Synura",NA,"colonial",0.002,56,91847,22080,0.018,0.004
"Tuesday Lake","T",1984,169,1984-06-17,"Bacillariophyta","Tabellaria","fenestrata",NA,0.515,6.94,175,175,0.009,0.009
"Paul Lake","L",1984,176,1984-06-24,"Chlorophyta","Ankyra","judayi",NA,0.143,66.6,153,153,0.002,0.002
"Paul Lake","L",1984,176,1984-06-24,"Chlorophyta","Closteriopsis","longissima",NA,0.03,56.7,142,142,0,0
"Paul Lake","L",1984,176,1984-06-24,"Chlorophyta","Closteriopsis","longissima",NA,0.073,110,276,276,0.002,0.002
"Paul Lake","L",1984,176,1984-06-24,"Chrysophyta","Dinobryon","cylindricum",NA,0.028,96.9,4490,722,0.013,0.002
"Paul Lake","L",1984,176,1984-06-24,"Chrysophyta","Dinobryon",NA,"cyst",0.701,37.9,1309,210,0.092,0.015
"Paul Lake","L",1984,176,1984-06-24,"Chrysophyta","Dinobryon","divergens",NA,0.067,69.6,3156,507,0.021,0.003
"Paul Lake","L",1984,176,1984-06-24,"Chrysophyta","Dinobryon","sociale",NA,0.58,24.3,641,89.6,0.037,0.005
"Paul Lake","L",1984,176,1984-06-24,"Chrysophyta","Dinobryon",NA,NA,1.299,69.8,2442,203,0.317,0.026
"Paul Lake","L",1984,176,1984-06-24,"Chlorophyta","Gloeocystis",NA,NA,0.108,44.1,63780,2255,0.689,0.024
"Paul Lake","L",1984,176,1984-06-24,"Chrysophyta","Mallomonas",NA,NA,0.216,16.6,1410,1410,0.03,0.03
"Paul Lake","L",1984,176,1984-06-24,"Chrysophyta","Mallomonas",NA,NA,0.286,29.3,1032,1032,0.03,0.03
"Paul Lake","L",1984,176,1984-06-24,"Cyanophyta","Merismopedia","tenuissima",NA,0.101,18,307,31.7,0.003,0
"Paul Lake","L",1984,176,1984-06-24,"Cyanophyta","Merismopedia","tenuissima",NA,0.116,34.5,971,100,0.011,0.001
"Paul Lake","L",1984,176,1984-06-24,"Cyanophyta","Merismopedia","tenuissima",NA,0.033,59,2466,254,0.008,0.001
"Paul Lake","L",1984,176,1984-06-24,"Cyanophyta","Merismopedia","tenuissima",NA,0.033,92.4,5867,605,0.019,0.002
"Paul Lake","L",1984,176,1984-06-24,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",3.032,5.8,102,102,0.031,0.031
"Paul Lake","L",1984,176,1984-06-24,"Chlorophyta","Monomastix","astigmata",NA,3.892,6.25,30.3,30.3,0.012,0.012
"Paul Lake","L",1984,176,1984-06-24,"Chlorophyta","Oocystis",NA,"sp. 1",0.169,15.4,1490,1490,0.025,0.025
"Paul Lake","L",1984,176,1984-06-24,"Pyrrhophyta","Peridinium","umbonatum",NA,0.036,16.2,1580,1580,0.006,0.006
"Paul Lake","L",1984,176,1984-06-24,"Chrysophyta","Synura",NA,"colonial",0.086,56,91847,22080,0.794,0.191
"Peter Lake","R",1984,176,1984-06-24,"Cyanophyta","Anabaena","circinalis",NA,0.068,35.1,1232,1232,0.008,0.008
"Peter Lake","R",1984,176,1984-06-24,"Chlorophyta","Ankyra","judayi",NA,0.039,66.6,153,153,0.001,0.001
"Peter Lake","R",1984,176,1984-06-24,"Bacillariophyta","Asterionella","formosa",NA,0.016,134,1120,1120,0.002,0.002
"Peter Lake","R",1984,176,1984-06-24,"Chlorophyta","Cerasterias",NA,NA,0.005,46,450,450,0,0
"Peter Lake","R",1984,176,1984-06-24,"Chrysophyta","Chrysochromulina",NA,NA,0.098,31.8,8169,2483,0.08,0.024
"Peter Lake","R",1984,176,1984-06-24,"Chrysophyta","Chrysosphaerella",NA,NA,0.003,126,831340,52245,0.243,0.015
"Peter Lake","R",1984,176,1984-06-24,"Chlorophyta","Closteriopsis","longissima",NA,0.011,56.7,142,142,0,0
"Peter Lake","R",1984,176,1984-06-24,"Chlorophyta","Closteriopsis","longissima",NA,0.027,110,276,276,0.001,0.001
"Peter Lake","R",1984,176,1984-06-24,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.069,13.9,203,203,0.001,0.001
"Peter Lake","R",1984,176,1984-06-24,"Cryptophyta","Cryptomonas","marsonii",NA,0.01,25.6,3712,3712,0.004,0.004
"Peter Lake","R",1984,176,1984-06-24,"Chrysophyta","Dinobryon","cylindricum",NA,0.004,96.9,4490,722,0.002,0
"Peter Lake","R",1984,176,1984-06-24,"Chrysophyta","Dinobryon",NA,"cyst",0.092,37.9,1309,210,0.012,0.002
"Peter Lake","R",1984,176,1984-06-24,"Chrysophyta","Dinobryon","divergens",NA,0.009,69.6,3156,507,0.003,0
"Peter Lake","R",1984,176,1984-06-24,"Chrysophyta","Dinobryon","divergens",NA,0.045,92.6,7494,1414,0.034,0.006
"Peter Lake","R",1984,176,1984-06-24,"Chrysophyta","Dinobryon","divergens",NA,0.018,148,18232,3440,0.033,0.006
"Peter Lake","R",1984,176,1984-06-24,"Chrysophyta","Dinobryon","divergens",NA,0.015,217,34556,6520,0.052,0.01
"Peter Lake","R",1984,176,1984-06-24,"Chrysophyta","Dinobryon","divergens",NA,0.085,70.4,5743,159,0.049,0.001
"Peter Lake","R",1984,176,1984-06-24,"Chlorophyta","Gloeocystis",NA,NA,0.069,44.1,63780,2255,0.44,0.016
"Peter Lake","R",1984,176,1984-06-24,"Cyanophyta","Gomphosphaeria",NA,NA,0.01,59.3,19070,5987,0.019,0.006
"Peter Lake","R",1984,176,1984-06-24,"Chrysophyta","Mallomonas",NA,NA,0.005,16.6,1410,1410,0.001,0.001
"Peter Lake","R",1984,176,1984-06-24,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",0.303,5.8,102,102,0.003,0.003
"Peter Lake","R",1984,176,1984-06-24,"Chlorophyta","Monomastix","astigmata",NA,1.636,7.7,37.1,37.1,0.006,0.006
"Peter Lake","R",1984,176,1984-06-24,"Cyanophyta","Nostoc",NA,"single trichomes",0.074,15.9,401,401,0.003,0.003
"Peter Lake","R",1984,176,1984-06-24,"Chlorophyta","Oocystis",NA,"sp. 1",0.678,15.4,1490,1490,0.101,0.101
"Peter Lake","R",1984,176,1984-06-24,"Chlorophyta","Quadrigula","lacustris",NA,0.019,92.7,23195,312,0.044,0.001
"Peter Lake","R",1984,176,1984-06-24,"Chlorophyta","Selenastrum","minutum",NA,0.032,7.34,272,272,0.001,0.001
"Peter Lake","R",1984,176,1984-06-24,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.062,33.4,28540,3060,0.177,0.019
"Peter Lake","R",1984,176,1984-06-24,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.014,107,247951,3607,0.347,0.005
"Peter Lake","R",1984,176,1984-06-24,"Chrysophyta","Synura",NA,"colonial",0.002,56,91847,22080,0.019,0.004
"Tuesday Lake","T",1984,176,1984-06-24,"Chlorophyta","Ankistrodesmus","setigerus",NA,0.266,25.1,1524,1524,0.041,0.041
"Tuesday Lake","T",1984,176,1984-06-24,"Cyanophyta","Chroococcus","dispersus",NA,0.041,7.7,239,239,0.001,0.001
"Tuesday Lake","T",1984,176,1984-06-24,"Chrysophyta","Chrysosphaerella",NA,NA,0.041,126,831340,52245,3.375,0.212
"Tuesday Lake","T",1984,176,1984-06-24,"Chlorophyta","Closteriopsis","longissima",NA,0.421,56.7,142,142,0.006,0.006
"Tuesday Lake","T",1984,176,1984-06-24,"Chlorophyta","Closteriopsis","longissima",NA,1.031,110,276,276,0.028,0.028
"Tuesday Lake","T",1984,176,1984-06-24,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.164,13.9,203,203,0.003,0.003
"Tuesday Lake","T",1984,176,1984-06-24,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.076,24,1514,1514,0.012,0.012
"Tuesday Lake","T",1984,176,1984-06-24,"Cyanophyta","Dactylococcopsis",NA,NA,0.311,32.7,132,132,0.004,0.004
"Tuesday Lake","T",1984,176,1984-06-24,"Chrysophyta","Diceras",NA,NA,0.035,106,153,153,0.001,0.001
"Tuesday Lake","T",1984,176,1984-06-24,"Chrysophyta","Dinobryon","sociale",NA,0.283,24.3,641,89.6,0.018,0.003
"Tuesday Lake","T",1984,176,1984-06-24,"Chrysophyta","Dinobryon",NA,NA,0.288,69.8,2442,203,0.07,0.006
"Tuesday Lake","T",1984,176,1984-06-24,"Pyrrhophyta","Glenodinium","quadridens",NA,0.072,34.4,12480,12480,0.09,0.09
"Tuesday Lake","T",1984,176,1984-06-24,"Chrysophyta","Mallomonas",NA,NA,0.105,16.6,1410,1410,0.015,0.015
"Tuesday Lake","T",1984,176,1984-06-24,"Chrysophyta","Mallomonas",NA,NA,0.172,29.3,1032,1032,0.018,0.018
"Tuesday Lake","T",1984,176,1984-06-24,"Euglenophyta","Menoidium","tortuosum",NA,4.887,13.6,1308,528,0.639,0.258
"Tuesday Lake","T",1984,176,1984-06-24,"Cyanophyta","Microcystis","aeruginosa","(<65)",0.082,47.2,13295,13295,0.109,0.109
"Tuesday Lake","T",1984,176,1984-06-24,"Cyanophyta","Microcystis","aeruginosa","(>65)",0.026,76.6,25200,25200,0.066,0.066
"Tuesday Lake","T",1984,176,1984-06-24,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",6.322,5.4,82.4,82.4,0.052,0.052
"Tuesday Lake","T",1984,176,1984-06-24,"Pyrrhophyta",NA,NA,"Misc. naked dinoflagellate",0.012,73.7,64600,64600,0.074,0.074
"Tuesday Lake","T",1984,176,1984-06-24,"Chlorophyta","Monomastix","astigmata",NA,0.271,6.25,30.3,30.3,0.001,0.001
"Tuesday Lake","T",1984,176,1984-06-24,"Pyrrhophyta","Peridinium",NA,NA,0.083,82.8,64600,64600,0.536,0.536
"Tuesday Lake","T",1984,176,1984-06-24,"Pyrrhophyta","Peridinium","umbonatum",NA,2.987,16.2,1580,1580,0.472,0.472
"Tuesday Lake","T",1984,176,1984-06-24,"Bacillariophyta","Rhizolenia",NA,NA,0.503,92.9,686,372,0.035,0.019
"Tuesday Lake","T",1984,176,1984-06-24,"Chlorophyta","Selenastrum","minutum",NA,5.2,7.34,272,272,0.141,0.141
"Tuesday Lake","T",1984,176,1984-06-24,"Chrysophyta","Synura",NA,"colonial",0.003,56,91847,22080,0.024,0.006
"Tuesday Lake","T",1984,176,1984-06-24,"Bacillariophyta","Tabellaria","fenestrata",NA,0.361,6.94,175,175,0.006,0.006
"Paul Lake","L",1984,183,1984-07-01,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.065,13.9,203,203,0.001,0.001
"Paul Lake","L",1984,183,1984-07-01,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.065,24,1514,1514,0.01,0.01
"Paul Lake","L",1984,183,1984-07-01,"Chrysophyta","Dinobryon","cylindricum",NA,0.003,96.9,4490,722,0.001,0
"Paul Lake","L",1984,183,1984-07-01,"Chrysophyta","Dinobryon",NA,"cyst",0.076,37.9,1309,210,0.01,0.002
"Paul Lake","L",1984,183,1984-07-01,"Chrysophyta","Dinobryon","divergens",NA,0.043,70.4,5743,159,0.025,0.001
"Paul Lake","L",1984,183,1984-07-01,"Chrysophyta","Dinobryon","divergens",NA,0.007,69.6,3156,507,0.002,0
"Paul Lake","L",1984,183,1984-07-01,"Chlorophyta","Gloeocystis",NA,NA,0.131,44.1,63780,2255,0.836,0.03
"Paul Lake","L",1984,183,1984-07-01,"Chrysophyta","Mallomonas",NA,NA,0.087,16.6,1410,1410,0.012,0.012
"Paul Lake","L",1984,183,1984-07-01,"Cyanophyta","Merismopedia","tenuissima",NA,0.232,18,307,31.7,0.007,0.001
"Paul Lake","L",1984,183,1984-07-01,"Cyanophyta","Merismopedia","tenuissima",NA,0.267,34.5,971,100,0.026,0.003
"Paul Lake","L",1984,183,1984-07-01,"Cyanophyta","Merismopedia","tenuissima",NA,0.077,59,2466,254,0.019,0.002
"Paul Lake","L",1984,183,1984-07-01,"Cyanophyta","Merismopedia","tenuissima",NA,0.077,92.4,5867,605,0.045,0.005
"Paul Lake","L",1984,183,1984-07-01,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",3.792,5.8,102,102,0.039,0.039
"Paul Lake","L",1984,183,1984-07-01,"Chlorophyta","Monomastix","astigmata",NA,4.708,6.25,30.3,30.3,0.014,0.014
"Paul Lake","L",1984,183,1984-07-01,"Chlorophyta","Oocystis",NA,"sp. 1",0.22,15.4,1490,1490,0.033,0.033
"Paul Lake","L",1984,183,1984-07-01,"Pyrrhophyta","Peridinium","umbonatum",NA,0.22,16.2,1580,1580,0.035,0.035
"Paul Lake","L",1984,183,1984-07-01,"Chlorophyta","Selenastrum","minutum",NA,0.043,7.34,272,272,0.001,0.001
"Paul Lake","L",1984,183,1984-07-01,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.071,33.4,28540,3060,0.203,0.022
"Paul Lake","L",1984,183,1984-07-01,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.016,107,247951,3607,0.397,0.006
"Paul Lake","L",1984,183,1984-07-01,"Chrysophyta","Synura",NA,"colonial",0.001,56,91847,22080,0.012,0.003
"Peter Lake","R",1984,183,1984-07-01,"Cyanophyta","Anabaena","circinalis",NA,0.061,35.1,1232,1232,0.008,0.008
"Peter Lake","R",1984,183,1984-07-01,"Bacillariophyta","Asterionella","formosa",NA,0.032,134,1120,1120,0.004,0.004
"Peter Lake","R",1984,183,1984-07-01,"Chlorophyta","Cerasterias",NA,NA,0.01,46,450,450,0,0
"Peter Lake","R",1984,183,1984-07-01,"Chrysophyta","Chrysochromulina",NA,NA,0.118,31.8,8169,2483,0.096,0.029
"Peter Lake","R",1984,183,1984-07-01,"Chrysophyta","Chrysosphaerella",NA,NA,0.002,126,831340,52245,0.148,0.009
"Peter Lake","R",1984,183,1984-07-01,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.021,13.9,203,203,0,0
"Peter Lake","R",1984,183,1984-07-01,"Cryptophyta","Cryptomonas","marsonii",NA,0.021,25.6,3712,3712,0.008,0.008
"Peter Lake","R",1984,183,1984-07-01,"Chrysophyta","Dinobryon","cylindricum",NA,0.006,96.9,4490,722,0.003,0
"Peter Lake","R",1984,183,1984-07-01,"Chrysophyta","Dinobryon",NA,"cyst",0.142,37.9,1309,210,0.019,0.003
"Peter Lake","R",1984,183,1984-07-01,"Chrysophyta","Dinobryon","divergens",NA,0.171,70.4,5743,159,0.098,0.003
"Peter Lake","R",1984,183,1984-07-01,"Chrysophyta","Dinobryon","divergens",NA,0.014,69.6,3156,507,0.004,0.001
"Peter Lake","R",1984,183,1984-07-01,"Chrysophyta","Dinobryon","divergens",NA,0.073,92.6,7494,1414,0.055,0.01
"Peter Lake","R",1984,183,1984-07-01,"Chrysophyta","Dinobryon","divergens",NA,0.029,148,18232,3440,0.053,0.01
"Peter Lake","R",1984,183,1984-07-01,"Chrysophyta","Dinobryon","divergens",NA,0.024,217,34556,6520,0.084,0.016
"Peter Lake","R",1984,183,1984-07-01,"Chlorophyta","Gloeocystis",NA,NA,0.021,44.1,63780,2255,0.134,0.005
"Peter Lake","R",1984,183,1984-07-01,"Cyanophyta","Gomphosphaeria",NA,NA,0.021,59.3,19070,5987,0.04,0.013
"Peter Lake","R",1984,183,1984-07-01,"Chrysophyta","Mallomonas",NA,NA,0.01,16.6,1410,1410,0.001,0.001
"Peter Lake","R",1984,183,1984-07-01,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",0.363,5.8,102,102,0.004,0.004
"Peter Lake","R",1984,183,1984-07-01,"Chlorophyta","Monomastix","astigmata",NA,0.887,7.7,37.1,37.1,0.003,0.003
"Peter Lake","R",1984,183,1984-07-01,"Cyanophyta","Nostoc",NA,"single trichomes",0.066,15.9,401,401,0.003,0.003
"Peter Lake","R",1984,183,1984-07-01,"Chlorophyta","Oocystis",NA,"sp. 1",0.107,15.4,1490,1490,0.016,0.016
"Peter Lake","R",1984,183,1984-07-01,"Chlorophyta","Selenastrum","minutum",NA,0.064,7.34,272,272,0.002,0.002
"Peter Lake","R",1984,183,1984-07-01,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.061,33.4,28540,3060,0.174,0.019
"Peter Lake","R",1984,183,1984-07-01,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.014,107,247951,3607,0.345,0.005
"Tuesday Lake","T",1984,183,1984-07-01,"Chlorophyta","Ankistrodesmus","setigerus",NA,0.066,25.1,1524,1524,0.01,0.01
"Tuesday Lake","T",1984,183,1984-07-01,"Cyanophyta","Chroococcus","dispersus",NA,0.02,7.7,239,239,0,0
"Tuesday Lake","T",1984,183,1984-07-01,"Chrysophyta","Chrysosphaerella",NA,NA,0.083,126,831340,52245,6.917,0.435
"Tuesday Lake","T",1984,183,1984-07-01,"Chlorophyta","Closteriopsis","longissima",NA,0.184,56.7,142,142,0.003,0.003
"Tuesday Lake","T",1984,183,1984-07-01,"Chlorophyta","Closteriopsis","longissima",NA,0.451,110,276,276,0.012,0.012
"Tuesday Lake","T",1984,183,1984-07-01,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.281,24,1514,1514,0.043,0.043
"Tuesday Lake","T",1984,183,1984-07-01,"Cyanophyta","Dactylococcopsis",NA,NA,0.101,32.7,132,132,0.001,0.001
"Tuesday Lake","T",1984,183,1984-07-01,"Chrysophyta","Diceras",NA,NA,0.02,106,153,153,0,0
"Tuesday Lake","T",1984,183,1984-07-01,"Chrysophyta","Dinobryon","sociale",NA,0.184,24.3,641,89.6,0.012,0.002
"Tuesday Lake","T",1984,183,1984-07-01,"Chrysophyta","Dinobryon",NA,NA,0.262,69.8,2442,203,0.064,0.005
"Tuesday Lake","T",1984,183,1984-07-01,"Pyrrhophyta","Glenodinium","quadridens",NA,0.139,34.4,12480,12480,0.173,0.173
"Tuesday Lake","T",1984,183,1984-07-01,"Chrysophyta","Mallomonas",NA,NA,0.204,16.6,1410,1410,0.029,0.029
"Tuesday Lake","T",1984,183,1984-07-01,"Chrysophyta","Mallomonas",NA,NA,0.48,29.3,1032,1032,0.05,0.05
